s,n,i,m
SMG,The Scotts Miracle-Gro Company,Agricultural Inputs,3672161829
SMHI,SEACOR Marine Holdings,Marine Shipping,315135784
SMID,Smith-Midland,Building Materials,125365379
SMLP,Summit Midstream Partners,Oil & Gas Midstream,169195798
SMLR,Semler Scientific,Medical Devices,172794830
SMMF,Summit Financial Group,Banks - Regional,297479208
SMMT,Summit Therapeutics,Biotechnology,1524441708
SMP,Standard Motor Products,Auto Parts,809396910
SMPL,The Simply Good Foods Company,Packaged Foods,3636524970
SMR,NuScale Power,Utilities - Renewable,533681148
SMRT,SmartRent,Software - Application,722041609
SMSI,Smith Micro Software,Software - Application,72570006
SMTC,Semtech,Semiconductors,1669295970
SMTI,Sanara MedTech,Medical Instruments & Supplies,329772271
SMWB,Similarweb,Internet Content & Information,496568916
SMX,SMX (Security Matters),Specialty Business Services,3790107
SNA,Snap-on,Tools & Accessories,14859544214
SNAL,Snail,Electronic Gaming & Multimedia,57540026
SNAP,Snap Inc.,Internet Content & Information,18428469080
SNAX,Stryve Foods,Packaged Foods,24620398
SNBR,Sleep Number,Furnishings,630469280
SNCE,Science 37 Holdings,Health Information Services,24519810
SNCR,Synchronoss Technologies,Software - Infrastructure,86946258
SNCY,Sun Country Airlines Holdings,Airlines,1248089864
SND,Smart Sand,Oil & Gas Equipment & Services,72322775
SNDA,Sonida Senior Living,Medical Care Facilities,64810206
SNDL,SNDL Inc.,Drug Manufacturers - Specialty & Generic,374770068
SNDR,Schneider National,Trucking,4993948230
SNDX,Syndax Pharmaceuticals,Biotechnology,1397072309
SNES,SenesTech,Specialty Chemicals,3349862
SNEX,StoneX Group,Capital Markets,1707430409
SNFCA,Security National Financial,Mortgage Finance,189745447
SNGX,Soligenix,Biotechnology,5640516
SNN,Smith & Nephew,Medical Devices,13030829123
SNOA,Sonoma Pharmaceuticals,Drug Manufacturers - Specialty & Generic,5139264
SNOW,Snowflake,Software - Application,55601799000
SNPO,Snap One Holdings,Electronics & Computer Distribution,916363394
SNPS,Synopsys,Software - Infrastructure,65625086400
SNPX,Synaptogenix,Biotechnology,6367024
SNSE,Sensei Biotherapeutics,Biotechnology,32936508
SNT,Senstar Technologies,Security & Protection Services,28205100
SNTG,Sentage Holdings,Credit Services,7209672
SNTI,Senti Biosciences,Biotechnology,30453836
SNV,Synovus Financial,Banks - Regional,4507709203
SNX,TD SYNNEX,Electronics & Computer Distribution,8811612160
SNY,Sanofi,Drug Manufacturers - General,128268464717
SO,The Southern Company,Utilities - Regulated Electric,77069472000
SOBR,SOBR Safe,Scientific & Technical Instruments,30351090
SOFI,SoFi Technologies,Credit Services,7574212800
SOFO,Sonic Foundry,Software - Application,10304504
SOHO,Sotherly Hotels,REIT - Hotel & Motel,76220627
SOHU,Sohu.com,Electronic Gaming & Multimedia,376845641
SOI,Solaris Oilfield Infrastructure,Oil & Gas Equipment & Services,403001271
SOL,ReneSola,Solar,257797632
SOLO,Electrameccanica Vehicles,Auto Manufacturers,85010543
SON,Sonoco Products Company,Packaging & Containers,5590331571
SOND,Sonder Holdings,Lodging,119509239
SONM,Sonim Technologies,Communication Equipment,47144710
SONN,Sonnet BioTherapeutics Holdings,Biotechnology,15355877
SONO,Sonos,Consumer Electronics,2080099620
SONX,Sonendo,Medical Devices,70779234
SONY,Sony Group,Consumer Electronics,112339712573
SOPA,Society Pass,Software - Application,14085750
SOPH,SOPHiA GENETICS,Health Information Services,265021060
SOS,SOS Limited,Software - Infrastructure,116618260
SOTK,Sono-Tek,Scientific & Technical Instruments,85007340
SOUN,SoundHound AI,Software - Application,789132960
SOVO,Sovos Brands,Packaged Foods,1935441120
SP,SP Plus,Specialty Business Services,769142580
SPB,Spectrum Brands Holdings,Household & Personal Products,3194250550
SPCB,SuperCom,Security & Protection Services,4757424
SPCE,Virgin Galactic Holdings,Aerospace & Defense,1037090561
SPFI,South Plains Financial,Banks - Regional,390751860
SPG,Simon Property Group,REIT - Retail,44370538706
SPGI,S&P Global,Financial Data & Stock Exchanges,126154600000
SPH,Suburban Propane Partners,Utilities - Regulated Gas,935925144
SPHR,Sphere Entertainment Co.,Entertainment,1167521740
SPI,SPI Energy Co.,Solar,40289690
SPIR,Spire Global,Specialty Business Services,80480717
SPLK,Splunk,Software - Infrastructure,17290296000
SPLP,Steel Partners Holdings L.P.,Conglomerates,1018344300
SPNS,Sapiens International Corporation,Software - Application,1452299608
SPNT,SiriusPoint,Insurance - Reinsurance,1420967670
SPOK,Spok Holdings,Health Information Services,237199555
SPOT,Spotify Technology,Internet Content & Information,30360823460
SPPI,Spectrum Pharmaceuticals,Biotechnology,197344029
SPR,Spirit AeroSystems Holdings,Aerospace & Defense,3057547900
SPRB,Spruce Biosciences,Biotechnology,84659193
SPRC,SciSparc,Biotechnology,3971215
SPRO,Spero Therapeutics,Biotechnology,76754828
SPRU,Spruce Power Holding,Solar,125653109
SPRY,ARS Pharmaceuticals,Biotechnology,580965846
SPSC,SPS Commerce,Software - Infrastructure,6658833456
SPT,Sprout Social,Software - Application,2630836583
SPTN,SpartanNash Company,Food Distribution,784133711
SPWH,Sportsman's Warehouse Holdings,Specialty Retail,223113552
SPWR,SunPower,Solar,1590413743
SPXC,SPX Technologies,Specialty Industrial Machinery,3617393100
SQ,Block,Software - Infrastructure,40918724435
SQFT,Presidio Property Trust,REIT - Diversified,11598594
SQL,SeqLL,Diagnostics & Research,5732306
SQM,Sociedad Química y Minera de Chile,Specialty Chemicals,22633956388
SQNS,Sequans Communications,Semiconductors,130626944
SQSP,Squarespace,Software - Infrastructure,4200275520
SR,Spire,Utilities - Regulated Gas,3376787024
SRAD,Sportradar Group AG,Software - Application,3908390400
SRC,Spirit Realty Capital,REIT - Diversified,5545906936
SRCE,1st Source,Banks - Regional,1045364748
SRCL,Stericycle,Waste Management,4214585786
SRDX,Surmodics,Medical Devices,404203800
SRE,Sempra,Utilities - Diversified,45350935737
SRG,Seritage Growth Properties,REIT - Retail,515655288
SRI,Stoneridge,Auto Parts,515048976
SRL,Scully Royalty,Capital Markets,103459654
SRPT,Sarepta Therapeutics,Biotechnology,10153208736
SRRK,Scholar Rock Holding,Biotechnology,382753665
SRT,Startek,Information Technology Services,116939310
SRTS,Sensus Healthcare,Medical Devices,53781504
SRZN,Surrozen,Biotechnology,19413180
SSB,SouthState,Banks - Regional,5165034615
SSBI,Summit State Bank,Banks - Regional,100923173
SSBK,Southern States Bancshares,Banks - Regional,184669745
SSD,Simpson Manufacturing Co.,Building Products & Equipment,5686657554
SSIC,Silver Spike Investment,Drug Manufacturers - Specialty & Generic,51954641
SSKN,STRATA Skin Sciences,Medical Devices,36592952
SSL,Sasol,Specialty Chemicals,8043380480
SSNC,SS&C Technologies Holdings,Software - Application,14820327746
SSNT,SilverSun Technologies,Software - Application,17844731
SSP,The E.W. Scripps Company,Broadcasting,788301370
SSRM,SSR Mining,Gold,2814470160
SSSS,SuRo Capital,Asset Management,82037478
SST,System1,Specialty Business Services,458457002
SSTI,ShotSpotter,Software - Application,269763959
SSTK,Shutterstock,Internet Content & Information,1748114600
SSU,SIGNA Sports United,Specialty Retail,1154979436
SSY,SunLink Health Systems,Pharmaceutical Retailers,6521106
SSYS,Stratasys,Computer Hardware,1191199060
ST,Sensata Technologies Holding,Scientific & Technical Instruments,6790022540
STAA,STAAR Surgical Company,Medical Instruments & Supplies,2429709964
STAF,Staffing 360 Solutions,Staffing & Employment Services,2817252
STAG,STAG Industrial,REIT - Industrial,6436046473
STBA,S&T Bancorp,Banks - Regional,1054449726
STBX,Starbox Group Holdings,Internet Content & Information,209343750
STC,Stewart Information Services,Insurance - Property & Casualty,1108058217
STCN,Steel Connect,Advertising Agencies,56088835
STE,STERIS,Medical Devices,21491120350
STEL,Stellar Bancorp,Banks - Regional,1197165166
STEM,Stem,Software - Infrastructure,940944400
STEP,StepStone Group,Asset Management,2617943179
STER,Sterling Check,Software - Infrastructure,1079313647
STG,Sunlands Technology Group,Education & Training Services,51394259
STGW,Stagwell,Advertising Agencies,3027841128
STHO,Star Holdings,Real Estate Services,202863600
STIM,Neuronetics,Diagnostics & Research,58996449
STIX,Semantix,Software - Application,187940269
STKH,Steakholder Foods,Packaged Foods,13547150
STKL,SunOpta,Packaged Foods,734071200
STKS,The ONE Group Hospitality,Restaurants,232732030
STLA,Stellantis,Auto Manufacturers,55398651387
STLD,Steel Dynamics,Steel,17775615440
STM,STMicroelectronics,Semiconductors,44901378342
STN,Stantec,Engineering & Construction,7260514380
STNE,StoneCo,Software - Infrastructure,3539622829
STNG,Scorpio Tankers,Oil & Gas Midstream,2524232154
STOK,Stoke Therapeutics,Biotechnology,446303850
STR,Sitio Royalties,Other Industrial Metals & Mining,3919570347
STRA,Strategic Education,Education & Training Services,1604834764
STRC,Sarcos Technology and Robotics,Computer Hardware,243794000
STRL,Sterling Infrastructure,Engineering & Construction,1768989817
STRM,Streamline Health Solutions,Health Information Services,75404672
STRO,Sutro Biopharma,Biotechnology,281542754
STRR,Star Equity Holdings,Diagnostics & Research,15803944
STRS,Stratus Properties,Real Estate - Diversified,201983036
STRT,Strattec Security,Auto Parts,76303620
STRW,Strawberry Fields REIT LLC,REIT - Healthcare Facilities,374754483
STSS,Sharps Technology,Medical Instruments & Supplies,9750160
STT,State Street,Asset Management,24695055511
STTK,Shattuck Labs,Biotechnology,119344353
STVN,Stevanato Group,Medical Instruments & Supplies,8417428295
STWD,Starwood Property Trust,REIT - Mortgage,6354108422
STX,Seagate Technology Holdings,Computer Hardware,12482902960
STXS,Stereotaxis,Medical Instruments & Supplies,120210816
STZ,Constellation Brands,Beverages - Wineries & Distilleries,46447479680
SU,Suncor Energy,Oil & Gas Integrated,38281070903
SUAC,ShoulderUp Technology Acquisition,Shell Companies,441826000
SUI,Sun Communities,REIT - Residential,17072162219
SUM,Summit Materials,Building Materials,4410251776
SUN,Sunoco LP,Oil & Gas Refining & Marketing,3640669090
SUNL,Sunlight Financial Holdings,Credit Services,42491264
SUNW,Sunworks,Solar,39076264
SUP,Superior Industries International,Auto Parts,99079080
SUPN,Supernus Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1614680496
SUPV,Grupo Supervielle,Banks - Regional,538215706
SURF,Surface Oncology,Biotechnology,57061743
SURG,SurgePays,Software - Application,93468540
SUZ,Suzano,Paper & Paper Products,11889405640
SVC,Service Properties Trust,REIT - Hotel & Motel,1447652500
SVFD,Save Foods,Agricultural Inputs,3406514
SVII,Spring Valley Acquisition Corp. II,Shell Companies,324453686
SVM,Silvercorp Metals,Silver,490140420
SVRA,Savara,Biotechnology,357026580
SVRE,SaverOne 2014,Scientific & Technical Instruments,7223034
SVT,Servotronics,Electrical Equipment & Parts,34798772
SVV,Savers Value Village,Specialty Retail,3608587969.9999995
SVVC,Firsthand Technology Value Fund,Asset Management,4225446
SWAG,Stran & Company,Shell Companies,29032614
SWAV,ShockWave Medical,Medical Devices,9587640374
SWBI,Smith & Wesson Brands,Aerospace & Defense,604144197
SWI,SolarWinds,Software - Infrastructure,1664798409
SWIM,Latham Group,Building Products & Equipment,407500950
SWK,Stanley Black & Decker,Tools & Accessories,13810436461
SWKH,SWK Holdings,Asset Management,211578952
SWKS,Skyworks Solutions,Semiconductors,17242853567
SWN,Southwestern Energy Company,Oil & Gas E&P,6508505795
SWSS,Springwater Special Situations,Shell Companies,75957926
SWTX,SpringWorks Therapeutics,Biotechnology,1620598752
SWVL,Swvl Holdings,Software - Application,6648150
SWX,Southwest Gas Holdings,Utilities - Regulated Gas,4535542880
SXC,SunCoke Energy,Coking Coal,680645226
SXI,Standex International,Specialty Industrial Machinery,1608411851
SXT,Sensient Technologies,Specialty Chemicals,2881068080
SXTC,China SXT Pharmaceuticals,Drug Manufacturers - Specialty & Generic,2246978
SY,So-Young International,Health Information Services,178379520
SYBT,Stock Yards Bancorp,Banks - Regional,1314256860
SYBX,Synlogic,Biotechnology,35640402
SYF,Synchrony Financial,Credit Services,14404271579
SYK,Stryker,Medical Devices,111707246160
SYM,Symbotic,Shell Companies,22868287706
SYNA,Synaptics,Semiconductors,3395498249
SYNH,Syneos Health,Diagnostics & Research,4381874250
SYPR,Sypris Solutions,Auto Parts,45214468
SYRS,Syros Pharmaceuticals,Biotechnology,61992455
SYT,SYLA Technologies Co.,Software - Application,1627600.4
SYTA,Siyata Mobile,Communication Equipment,5204491
SYY,Sysco,Food Distribution,37730205320
SZZL,Sizzle Acquisition,Shell Companies,114638608
T,AT&T Inc.,Telecom Services,111595892997
TAC,TransAlta,Utilities - Independent Power Producers,2483201900
TACT,TransAct Technologies,Computer Hardware,86597103
TAIT,Taitron Components,Electronics & Computer Distribution,24524376
TAK,Takeda Pharmaceutical Company,Drug Manufacturers - Specialty & Generic,48128250286
TAL,TAL Education Group,Education & Training Services,3946220509
TALK,Talkspace,Medical Care Facilities,211121400
TALO,Talos Energy,Oil & Gas E&P,1730161680
TALS,Talaris Therapeutics,Biotechnology,134017496
TANH,Tantech Holdings,Household & Personal Products,9114908
TAOP,Taoping,Software - Infrastructure,8902320
TAP,Molson Coors Beverage Company,Beverages - Brewers,14253750156
TARA,Protara Therapeutics,Biotechnology,26234560
TARO,Taro Pharmaceutical Industries,Drug Manufacturers - Specialty & Generic,1393636968
TARS,Tarsus Pharmaceuticals,Biotechnology,472013157
TASK,TaskUs,Information Technology Services,1125306283
TAST,Carrols Restaurant Group,Restaurants,273029260
TATT,TAT Technologies,Aerospace & Defense,66836625
TAYD,Taylor Devices,Specialty Industrial Machinery,91276453
TBBK,The Bancorp,Banks - Regional,1769266790
TBCP,Thunder Bridge Capital Partners III,Shell Companies,127993196
TBI,TrueBlue,Staffing & Employment Services,545081138
TBIO,Telesis Bio,Medical Devices,47083261
TBLA,Taboola.com,Internet Content & Information,935572395
TBLD,Thornburg Income Builder Opportunities Trust,null,482832595
TBLT,ToughBuilt Industries,Tools & Accessories,6521005
TBMC,Trailblazer Merger Corporation I,Shell Companies,17629500
TBNK,Territorial Bancorp,Banks - Regional,107545407
TBPH,Theravance Biopharma,Biotechnology,590112475
TC,TuanChe,Internet Content & Information,11496638
TCBC,TC Bancshares,Banks - Regional,68719196
TCBI,Texas Capital Bancshares,Banks - Regional,2529913645
TCBK,TriCo Bancshares,Banks - Regional,1096820604
TCBP,TC Biopharm (Holdings),Biotechnology,2144033
TCBS,Texas Community Bancshares,Banks - Regional,41361807
TCBX,Third Coast Bancshares,Banks - Regional,213076476
TCI,Transcontinental Realty Investors,Real Estate Services,314471248
TCJH,Top KingWin,Capital Markets,20760000
TCMD,Tactile Systems Technology,Medical Devices,543490040
TCN,Tricon Residential,Real Estate Services,2443929600
TCOA,Trajectory Alpha Acquisition,Shell Companies,223171885
TCOM,Trip.com Group,Travel Services,22343867553
TCON,TRACON Pharmaceuticals,Biotechnology,7732540
TCPC,BlackRock TCP Capital,Asset Management,645838414
TCRT,Alaunos Therapeutics,Biotechnology,120313504
TCRX,TScan Therapeutics,Biotechnology,109280123
TCS,The Container Store Group,Specialty Retail,160492979
TCX,Tucows,Software - Infrastructure,334365318
TD,The Toronto-Dominion Bank,Banks - Diversified,112014459852
TDC,Teradata,Software - Infrastructure,5380542000
TDCX,TDCX Inc.,Specialty Business Services,1094130900
TDG,TransDigm Group,Aerospace & Defense,48506083164
TDOC,Teladoc Health,Health Information Services,3694054651
TDS,Telephone and Data Systems,Telecom Services,986139480
TDUP,ThredUp,Internet Retail,254632300
TDW,Tidewater,Oil & Gas Equipment & Services,2981174206
TDY,Teledyne Technologies,Scientific & Technical Instruments,19287284632
TEAM,Atlassian Corporation,Software - Application,43549841064
TECH,Bio-Techne,Biotechnology,12720908954
TECK,Teck Resources,Other Industrial Metals & Mining,20881424000
TEDU,Tarena International,Education & Training Services,27065424
TEF,Telefónica,Telecom Services,22599307423
TEL,TE Connectivity,Electronic Components,44059380419
TELA,TELA Bio,Medical Devices,245938832
TELL,Tellurian,Oil & Gas E&P,804816904
TENB,Tenable Holdings,Software - Infrastructure,4870067530
TENK,TenX Keane Acquisition Ordinary Share,Shell Companies,187764566
TENX,Tenax Therapeutics,Biotechnology,6533220
TEO,Telecom Argentina,Telecom Services,3755308160
TER,Teradyne,Semiconductor Equipment & Materials,16486848111
TERN,Terns Pharmaceuticals,Biotechnology,465910422
TESS,TESSCO Technologies,Communication Equipment,82927478
TETE,Technology & Telecommunication Acquisition,Shell Companies,66251802
TEVA,Teva Pharmaceutical Industries,Drug Manufacturers - Specialty & Generic,8918463473
TEX,Terex,Farm & Heavy Construction Machinery,3967656000
TFC,Truist Financial,Banks - Regional,42461609600
TFFP,TFF Pharmaceuticals,Biotechnology,12740282
TFII,TFI International,Trucking,9737464064
TFIN,Triumph Financial,Banks - Regional,1375564305
TFPM,Triple Flag Precious Metals,Other Precious Metals & Mining,2656125435
TFSL,TFS Financial,Banks - Regional,3532145299
TFX,Teleflex,Medical Instruments & Supplies,11081563464
TG,Tredegar,Metal Fabrication,224305620
TGAA,Target Global Acquisition I,Shell Companies,285812765
TGAN,Transphorm,Semiconductor Equipment & Materials,178101600
TGB,Taseko Mines,Copper,412514960
TGH,Textainer Group Holdings,Rental & Leasing Services,1674269377
TGI,Triumph Group,Aerospace & Defense,754448256
TGL,Treasure Global,Software - Application,16361208
TGLS,Tecnoglass,Building Materials,2425176380
TGNA,TEGNA,Broadcasting,3230520160
TGS,Transportadora de Gas del Sur,Oil & Gas Integrated,4157847426
TGT,Target,Discount Stores,60025878000
TGTX,TG Therapeutics,Biotechnology,3728924160
TGVC,TG Venture Acquisition,Shell Companies,151544834
TH,Target Hospitality,Specialty Business Services,1296573460
THC,Tenet Healthcare,Medical Care Facilities,8160916100
THCH,TH International,Restaurants,437750040
THCP,Thunder Bridge Capital Partners IV,Shell Companies,306672100
THFF,First Financial,Banks - Regional,394554930
THG,The Hanover Insurance Group,Insurance - Property & Casualty,4040633220
THM,International Tower Hill Mines,Gold,89349088
THMO,ThermoGenesis Holdings,Medical Devices,2570805
THO,Thor Industries,Recreational Vehicles,5408116890
THR,Thermon Group Holdings,Specialty Industrial Machinery,891199260
THRD,Third Harmonic Bio,Biotechnology,223618776
THRM,Gentherm,Auto Parts,1851170288
THRN,Thorne HealthTech,Packaged Foods,246132431
THRX,Theseus Pharmaceuticals,Biotechnology,421820520
THRY,Thryv Holdings,Internet Content & Information,844297864
THS,TreeHouse Foods,Packaged Foods,2828104146
THTX,Theratechnologies,Drug Manufacturers - Specialty & Generic,85847830
TIGO,Millicom International Cellular,Telecom Services,2719783607
TIGR,UP Fintech Holding,Capital Markets,446362583
TIL,Instil Bio,Biotechnology,72844240
TILE,Interface,Furnishings,511676424
TIMB,TIM S.A.,Telecom Services,7083231774
TIO,Tingo Group,Computer Hardware,214068275
TIPT,Tiptree,Insurance - Specialty,551869346
TIRX,Tian Ruixiang Holdings,Insurance Brokers,4420913
TISI,Team,Specialty Business Services,38253161
TITN,Titan Machinery,Industrial Distribution,673215840
TIVC,Tivic Health Systems,Medical Devices,3252676
TIXT,TELUS International (Cda),Software - Infrastructure,4125119261
TJX,The TJX Companies,Apparel Retail,95042153293
TK,Teekay,Oil & Gas Midstream,627249726
TKAT,Takung Art Co.,Internet Retail,11452723
TKC,Turkcell Iletisim Hizmetleri A.S.,Telecom Services,3220786921
TKLF,Yoshitsu,Household & Personal Products,46037627
TKNO,Alpha Teknova,Drug Manufacturers - Specialty & Generic,72955938
TKR,The Timken Company,Tools & Accessories,6553937456
TLF,Tandy Leather Factory,Specialty Retail,35684408
TLGA,TLG Acquisition One,Shell Companies,136217168
TLGY,TLGY Acquisition,Shell Companies,141004560
TLIS,Talis Biomedical,Medical Devices,194878550
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Telecom Services,25924578159
TLRY,Tilray Brands,Drug Manufacturers - Specialty & Generic,1108736773
TLS,Telos,Information Technology Services,185269976
TLSA,Tiziana Life Sciences,Biotechnology,69959650
TLYS,Tilly's,Apparel Retail,221407836
TM,Toyota Motor,Auto Manufacturers,219256587200
TMBR,Timber Pharmaceuticals,Biotechnology,6788886
TMC,TMC the metals company,Other Industrial Metals & Mining,710019200
TMCI,Treace Medical Concepts,Medical Devices,1425957375
TMDX,TransMedics Group,Medical Devices,2654420544
TME,Tencent Music Entertainment Group,Internet Content & Information,12441580000
TMHC,Taylor Morrison Home,Residential Construction,5095577100
TMKR,Tastemaker Acquisition,Shell Companies,103870650
TMO,Thermo Fisher Scientific,Diagnostics & Research,198156445220
TMP,Tompkins Financial,Banks - Regional,798539500
TMPO,Tempo Automation Holdings,Electronic Components,11534400
TMQ,Trilogy Metals,Other Industrial Metals & Mining,85935090
TMST,TimkenSteel,Steel,940262680
TMTC,TMT Acquisition,Shell Companies,16838012.1
TMUS,T-Mobile US,Telecom Services,166748719971
TNC,Tennant Company,Specialty Industrial Machinery,1436391520
TNDM,Tandem Diabetes Care,Medical Devices,1574187048
TNET,TriNet Group,Staffing & Employment Services,5407944198
TNGX,Tango Therapeutics,Biotechnology,282016722
TNK,Teekay Tankers,Oil & Gas Midstream,1292636072
TNL,Travel + Leisure Co.,Travel Services,3137997820
TNON,Tenon Medical,Medical Devices,6247116
TNP,Tsakos Energy Navigation,Oil & Gas Midstream,550574496
TNXP,Tonix Pharmaceuticals Holding,Biotechnology,16544640
TNYA,Tenaya Therapeutics,Biotechnology,354410470
TOI,The Oncology Institute,Medical Care Facilities,42196726
TOL,Toll Brothers,Residential Construction,8398559020
TOMZ,TOMI Environmental Solutions,Pollution & Treatment Controls,12489120
TOON,Kartoon Studios,Entertainment,62037969.9
TOP,TOP Financial Group,Capital Markets,252009500
TOPS,Top Ships,Marine Shipping,12594236
TORO,Toro Corp.,Marine Shipping,66814920
TOST,Toast,Software - Infrastructure,11930563052
TOUR,Tuniu,Travel Services,194366000
TOVX,Theriva Biologics,Biotechnology,12553003
TOWN,TowneBank,Banks - Regional,1728734306
TPB,Turning Point Brands,Tobacco,420996870
TPC,Tutor Perini,Engineering & Construction,385787403
TPET,Trio Petroleum,Oil & Gas E&P,39718720
TPG,TPG Inc.,Asset Management,9061596781
TPH,Tri Pointe Homes,Residential Construction,3059995860
TPHS,Trinity Place Holdings,Real Estate - Diversified,24317440
TPIC,TPI Composites,Specialty Industrial Machinery,415877242
TPL,Texas Pacific Land,Oil & Gas E&P,10375212384
TPR,Tapestry,Luxury Goods,9872276820
TPST,Tempest Therapeutics,Biotechnology,13671952
TPVG,TriplePoint Venture Growth BDC,Asset Management,429016488
TPX,Tempur Sealy International,Furnishings,6956790100
TR,Tootsie Roll Industries,Confectioners,2355083208
TRC,Tejon Ranch Co.,Conglomerates,453008384
TRCA,Twin Ridge Capital Acquisition,Shell Companies,121428656
TRDA,Entrada Therapeutics,Biotechnology,572648250
TREE,LendingTree,Financial Conglomerates,275643445
TREX,Trex Company,Building Products & Equipment,6765432720
TRGP,Targa Resources,Oil & Gas Midstream,17471269318
TRHC,Tabula Rasa HealthCare,Health Information Services,209708653
TRI,Thomson Reuters,Specialty Business Services,58933349532
TRIB,Trinity Biotech,Diagnostics & Research,32961697
TRIN,Trinity Capital,Asset Management,519398136
TRIP,Tripadvisor,Travel Services,2367552500
TRIS,Tristar Acquisition I,Shell Companies,301587500
TRKA,Troika Media Group,Advertising Agencies,36531079
TRMB,Trimble,Scientific & Technical Instruments,12900186707
TRMD,TORM plc,Oil & Gas Midstream,2087442448
TRMK,Trustmark,Banks - Regional,1312370661
TRMR,Tremor International,Advertising Agencies,509945940
TRN,Trinity Industries,Railroads,2068490661
TRNO,Terreno Realty,REIT - Industrial,4861440225
TRNR,Interactive Strength,Personal Services,19976783.4
TRNS,Transcat,Industrial Distribution,636578807
TRON,Corner Growth Acquisition Corp. 2,Shell Companies,68800381
TROO,TROOPS,Software - Application,457191000
TROW,T. Rowe Price Group,Asset Management,24748178220
TROX,Tronox Holdings,Chemicals,2021791200
TRP,TC Energy,Oil & Gas Midstream,39130000000
TRS,TriMas,Packaging & Containers,1140733287
TRST,TrustCo Bank Corp NY,Banks - Regional,546190524
TRT,Trio-Tech International,Semiconductor Equipment & Materials,19705031
TRTL,TortoiseEcofin Acquisition Corp. III,Shell Companies,446775010
TRTN,Triton International,Rental & Leasing Services,4636220400
TRTX,TPG RE Finance Trust,REIT - Mortgage,545567148
TRU,TransUnion,Consulting Services,14775936000
TRUE,TrueCar,Internet Content & Information,195341868
TRUP,Trupanion,Insurance - Specialty,1052484462
TRV,The Travelers Companies,Insurance - Property & Casualty,39647200677
TRVG,trivago,Internet Content & Information,469304482
TRVI,Trevi Therapeutics,Biotechnology,135156375
TRVN,Trevena,Biotechnology,10336089
TRX,TRX Gold,Gold,118482201
TS,Tenaris,Oil & Gas Equipment & Services,17808386525
TSAT,Telesat,Communication Equipment,481061532
TSBK,Timberland Bancorp,Banks - Regional,211395691
TSCO,Tractor Supply Company,Specialty Retail,23760916480
TSE,Trinseo,Specialty Chemicals,494508441
TSEM,Tower Semiconductor,Semiconductors,3917075110
TSHA,Taysha Gene Therapies,Biotechnology,41074304
TSLA,Tesla,Auto Manufacturers,869805858655
TSLX,Sixth Street Specialty Lending,Asset Management,1635964183
TSM,Taiwan Semiconductor Manufacturing Company,Semiconductors,519833872696
TSN,Tyson Foods,Farm Products,18406424584
TSP,TuSimple Holdings,Trucking,415302731
TSQ,Townsquare Media,Advertising Agencies,184525610
TSRI,TSR,Software - Application,13969021
TSVT,2seventy bio,Biotechnology,537132510
TT,Trane Technologies,Building Products & Equipment,43145157880
TTC,The Toro Company,Tools & Accessories,10511130960
TTCF,Tattooed Chef,Packaged Foods,21751184
TTD,The Trade Desk,Software - Application,37054827120
TTE,TotalEnergies SE,Oil & Gas Integrated,140839552533
TTEC,TTEC Holdings,Information Technology Services,1535725750
TTEK,Tetra Tech,Engineering & Construction,8662568830
TTGT,TechTarget,Internet Content & Information,865725060
TTI,TETRA Technologies,Oil & Gas Equipment & Services,473435640
TTMI,TTM Technologies,Electronic Components,1391066160
TTNP,Titan Pharmaceuticals,Biotechnology,9235025
TTOO,T2 Biosystems,Diagnostics & Research,2862086
TTSH,Tile Shop Holdings,Home Improvement Retail,247564965
TTWO,Take-Two Interactive Software,Electronic Gaming & Multimedia,24246935460
TU,TELUS,Telecom Services,28057331241
TUP,Tupperware Brands,Packaging & Containers,32847003
TURN,180 Degree Capital,Asset Management,47512004
TUSK,Mammoth Energy Services,Conglomerates,231886638
TUYA,Tuya Inc.,Software - Infrastructure,1085054213
TV,Grupo Televisa,Telecom Services,2757323290
TVTX,Travere Therapeutics,Biotechnology,1157914670
TW,Tradeweb Markets,Capital Markets,15398879253
TWCB,Bilander Acquisition,Shell Companies,228507696
TWI,Titan International,Farm & Heavy Construction Machinery,719652360
TWIN,Twin Disc,Specialty Industrial Machinery,153492427
TWKS,Thoughtworks Holding,Information Technology Services,2417429760
TWLO,Twilio,Internet Content & Information,11486553650
TWLV,Twelve Seas Investment Company II,Shell Companies,134404490
TWNK,Hostess Brands,Packaged Foods,3309293500
TWO,Two Harbors Investment,REIT - Mortgage,1243110563
TWOA,two,Shell Companies,106183840
TWOU,2U,Education & Training Services,279055318
TWST,Twist Bioscience,Diagnostics & Research,1114368450
TX,Ternium,Steel,8048628000
TXG,10x Genomics,Health Information Services,6163411046
TXMD,TherapeuticsMD,Drug Manufacturers - Specialty & Generic,43041060
TXN,Texas Instruments,Semiconductors,157659502579
TXO,MorningStar Partners,Oil & Gas E&P,656512500
TXRH,Texas Roadhouse,Restaurants,7415593204
TXT,Textron,Aerospace & Defense,13619450400
TYG,Tortoise Energy Infrastructure,Asset Management,335185770
TYGO,Tigo Energy,Solar,1131491970
TYL,Tyler Technologies,Software - Application,17041795944
TYRA,Tyra Biosciences,Biotechnology,631190011
